Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
AGL Hydro Partnership,Wattle Point Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-55,1.65,N,WPWF,90.75,91,
Pyrenees Wind Energy Development Pty Ltd,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,1.5,Y,WAUBRAWF,192,192,
EnerNOC Pty Ltd,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.715,N,WESTILL1,1,1,
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,31,N,WKIEWA1,31,31,15
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2,31,N,WKIEWA2,31,31,15
AGL Hydro Partnership,West Nowra Landfill Gas Power Generation Facility,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,AGLNOW1,1,1,
EnerNOC Pty Ltd,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,WESTCBT1,1,1,
Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1.1,N,WHIT1,1,1,
SANTOS NSW (NARRABRI POWER) PTY LTD ,Wilga Park A Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,6,1.67 (average),N,WILGAPK,10,10,
SANTOS NSW (NARRABRI POWER) PTY LTD ,Wilga Park B Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,2,3,N,WILGB01,6,6,
Pacific Hydro Investments Pty Ltd,William Hovell Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,1.5,N,WILLHOV1,2,2,0
Windy Hill Wind Farm Pty Ltd ,Windy Hill Wind Farm,QLD1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,20-Jan,0.6,Y,WHILL1,12,12,
EDL LFG (SA) Pty Ltd,Wingfield 1 Landfill Gas Power Station Units 1-4,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,4-Jan,1.03,N,WING1_1,5,5,0
EDL LFG (SA) Pty Ltd,Wingfield 2 Landfill Gas Power Station Units 1-4,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,4-Jan,1.03,N,WING2_1,5,5,0
CS Energy Limited,Wivenhoe Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - pump storage,1,250,N,W/HOE#1,250,312,120
CS Energy Limited,Wivenhoe Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - pump storage,2,250,N,W/HOE#2,250,312,120
CS Energy Limited,Wivenhoe Power Station No. 1 Pump,QLD1,Load Norm Off,Market,Scheduled,,,,,1,240,N,PUMP1,240,245,49
CS Energy Limited,Wivenhoe Power Station No. 2 Pump,QLD1,Load Norm Off,Market,Scheduled,,,,,2,240,N,PUMP2,240,245,49
Stanwell Corporation Limited,Wivenhoe Small Hydro,QLD1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,4.7,N,WIVENSH,4.7,5,
Lumo Energy Australia Pty Ltd,Wollert Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,6-Jan,1.123,N,WOLLERT1,6.738,7,
Origin Energy Electricity Limited,Wonthaggi Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,,Renewable,Wind - Onshore,6-Jan,2,Y,WONWP,12,12,
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,6-Jan,1.065,N,WDLNGN01,7,7,
Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,23-Jan,2.1,N,WOODLWN1,48,48,13
Hydro-Electric Corporation trading as Hydro Tasmania,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WBP 1-37,1.75,Y,WOOLNTH1,140,140,
AGL Hydro Partnership,Woy Woy Landfill Site,NSW1,Generator,Market,Non-Scheduled,Landfill / Biogas,Landfill / Biogas,Combustion,Compression Reciprocating Engine,1,1.064,N,WOYWOY1,1.064,1,
AGL Hydro Partnership,Wyangala A Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,20,N,WYANGALA,20,20,
AGL Hydro Partnership,Wyangala B Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,4,N,WYANGALB,4,4,
EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,WYNDW,1,1,
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,360,N,YWPS1,360,395,79
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,360,N,YWPS2,360,380,76
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,380,N,YWPS3,380,405,81
EnergyAustralia Yallourn Pty Ltd,Yallourn W Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,380,N,YWPS4,380,405,81
Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm ,VIC1,Generator ,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,20-Jan,1.5,N,YAMBUKWF,30,30,
RTA Yarwun Pty Ltd,Yarwun Power Station,QLD1,Generator,Market,Non-Scheduled,,,,,1,154,N,YARWUN_1,154,180,36
